id,link,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
ID708163032,https://www.otodom.pl/pl/oferta/listing-ID708163032,42146020.0,140.02,4.0,miejskie,0.0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025.0,True,apartamentowiec,,Mokotów,Ksawerów,ul. Władysława Orkana,2.0,3.0,True,False,False,,,,,,,,,
ID730164239,https://www.otodom.pl/pl/oferta/listing-ID730164239,2100000.0,144.8,4.0,miejskie,0.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1998.0,True,blok,,Ochota,Szczęśliwice,ul. Opaczewska,1.0,4.0,False,True,True,False,True,True,False,False,False,False,False,True
ID326092514,https://www.otodom.pl/pl/oferta/listing-ID326092514,6175000.0,43.0,2.0,miejskie,429.0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025.0,True,blok,plastikowe,Ursus,Szamoty,,0.0,4.0,True,True,True,True,True,False,False,False,True,False,False,False
ID440092532,https://www.otodom.pl/pl/oferta/listing-ID440092532,5450000.0,34.17,1.0,miejskie,580.0,do zamieszkania,wtórny,pełna własność,prywatny,2002.0,True,blok,plastikowe,Ursus,Skorosze,,0.0,6.0,True,True,True,,,,,,,,,
ID207102609,https://www.otodom.pl/pl/oferta/listing-ID207102609,9990000.0,90.0,4.0,gazowe,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2023.0,False,szeregowiec,plastikowe,Wesoła,Stara Miłosna,,1.0,1.0,,,,True,True,False,False,True,False,False,False,False
ID810110150,https://www.otodom.pl/pl/oferta/listing-ID810110150,6700000.0,40.0,2.0,miejskie,650.0,do zamieszkania,wtórny,pełna własność,prywatny,2020.0,True,blok,,Włochy,Raków,ul. Równoległa,5.0,5.0,True,False,False,True,True,False,False,False,True,False,False,False
ID556093346,https://www.otodom.pl/pl/oferta/listing-ID556093346,12688220.0,64.23,3.0,miejskie,3.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022.0,True,,plastikowe,Mokotów,Służew,ul. Bokserska,2.0,8.0,True,True,True,True,True,False,False,False,False,False,False,False
ID393182955,https://www.otodom.pl/pl/oferta/listing-ID393182955,10650000.0,59.72,4.0,gazowe,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1920.0,False,kamienica,,Praga-Północ,Nowa Praga,ul. Wileńska,4.0,4.0,,,,True,False,False,False,True,True,False,False,False
ID501164236,https://www.otodom.pl/pl/oferta/listing-ID501164236,1750000.0,121.0,4.0,miejskie,,brak informacji,wtórny,pełna własność,biuro nieruchomości,2000.0,True,apartamentowiec,,Ochota,Stara Ochota,al. Aleje Jerozolimskie,6.0,14.0,False,True,True,True,True,False,False,False,True,False,False,True
ID499164317,https://www.otodom.pl/pl/oferta/listing-ID499164317,1050000.0,49.2,2.0,miejskie,822.0,do zamieszkania,wtórny,pełna własność,prywatny,2015.0,False,apartamentowiec,,Ochota,Szczęśliwice,,2.0,,True,False,False,True,True,False,False,False,False,False,False,False
ID336181717,https://www.otodom.pl/pl/oferta/listing-ID336181717,8150000.0,43.91,2.0,miejskie,0.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2018.0,True,apartamentowiec,drewniane,Praga-Południe,Grochów,ul. Przeworska,3.0,5.0,True,True,True,True,True,False,True,False,False,False,False,False
ID960182705,https://www.otodom.pl/pl/oferta/listing-ID960182705,8200000.0,50.0,3.0,miejskie,700.0,do zamieszkania,wtórny,pełna własność,prywatny,2017.0,True,blok,,Białołęka,Brzeziny,,0.0,3.0,True,True,True,False,True,True,True,False,True,False,False,False
ID214092543,https://www.otodom.pl/pl/oferta/listing-ID214092543,8200000.0,66.3,4.0,miejskie,950.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1997.0,False,blok,drewniane,Włochy,Stare Włochy,ul. Zapustna,0.0,4.0,,,,True,True,False,True,True,True,False,False,True
ID719182708,https://www.otodom.pl/pl/oferta/listing-ID719182708,5450000.0,39.69,2.0,miejskie,530.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2014.0,False,blok,plastikowe,Białołęka,Białołęka Dworska,ul. Gioacchino Rossiniego,2.0,2.0,False,True,True,True,True,False,False,False,False,False,False,False
ID446094647,https://www.otodom.pl/pl/oferta/listing-ID446094647,,43.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
ID221182707,https://www.otodom.pl/pl/oferta/listing-ID221182707,6400000.0,64.0,3.0,gazowe,0.0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025.0,False,,,Białołęka,Grodzisk,ul. Konik Polny,0.0,1.0,,,,False,True,True,True,False,True,False,False,False
ID687162036,https://www.otodom.pl/pl/oferta/listing-ID687162036,7369000.0,38.8,2.0,brak informacji,1.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1972.0,True,blok,,Śródmieście,Śródmieście Północne,ul. Grzybowska,2.0,15.0,,,,False,False,False,False,True,False,False,False,True
ID386164302,https://www.otodom.pl/pl/oferta/listing-ID386164302,1370000.0,80.9,3.0,miejskie,900.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1927.0,True,kamienica,,Ochota,Stara Ochota,ul. Wawelska,1.0,4.0,,,,True,False,False,False,True,False,False,False,False
ID916094614,https://www.otodom.pl/pl/oferta/listing-ID916094614,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
