id,link,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
ID604093508,https://www.otodom.pl/pl/oferta/listing-ID604093508,4300.0,40.0,2.0,brak informacji,700.0,do zamieszkania,,,prywatny,2003.0,False,apartamentowiec,,Ursynów,Kabaty,,0.0,6.0,True,True,True,False,False,False,False,False,False,True,True,False
ID828164754,https://www.otodom.pl/pl/oferta/listing-ID828164754,4500.0,36.0,2.0,brak informacji,800.0,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Wola,Czyste,ul. Prosta,5.0,29.0,False,True,True,,,,,,,,,
ID212102643,https://www.otodom.pl/pl/oferta/listing-ID212102643,3900.0,80.0,3.0,gazowe,600.0,brak informacji,,,prywatny,,False,apartamentowiec,plastikowe,Wesoła,Stara Miłosna,ul. Rumiankowa,0.0,,,,,True,True,True,True,False,False,False,False,True
ID484093501,https://www.otodom.pl/pl/oferta/listing-ID484093501,2500.0,56.0,3.0,miejskie,,do zamieszkania,,,biuro nieruchomości,1981.0,True,blok,,Ursynów,Ursynów-Centrum,ul. Stanisława Kulczyńskiego,4.0,10.0,,,,,,,,,,,,
ID658172335,https://www.otodom.pl/pl/oferta/listing-ID658172335,3900.0,55.0,3.0,brak informacji,,do zamieszkania,,,prywatny,,True,blok,plastikowe,Żoliborz,Marymont-Potok,ul. Gwiaździsta,9.0,16.0,,,,,,,,,,,,
ID168092620,https://www.otodom.pl/pl/oferta/listing-ID168092620,3500.0,47.0,2.0,brak informacji,750.0,do zamieszkania,,,biuro nieruchomości,2011.0,False,apartamentowiec,,Ursus,Niedźwiadek,ul. Władysława Jagiełły,1.0,5.0,,,,True,True,False,False,False,False,False,False,False
ID704164339,https://www.otodom.pl/pl/oferta/listing-ID704164339,5000.0,100.0,4.0,miejskie,1.0,do zamieszkania,,,biuro nieruchomości,1984.0,True,blok,,Ochota,Stara Ochota,ul. Grójecka,1.0,9.0,,,,False,True,False,False,False,False,False,False,True
ID500183048,https://www.otodom.pl/pl/oferta/listing-ID500183048,4450.0,44.3,2.0,miejskie,800.0,do zamieszkania,,,prywatny,2023.0,True,blok,plastikowe,,,,4.0,4.0,,,,True,True,True,False,True,False,True,True,False
ID296102919,https://www.otodom.pl/pl/oferta/listing-ID296102919,10000.0,100.0,4.0,miejskie,1.0,brak informacji,,,biuro nieruchomości,2013.0,True,apartamentowiec,drewniane,Wilanów,Błonia Wilanowskie,al. Aleja Rzeczypospolitej,3.0,4.0,,,,True,True,True,False,True,False,False,False,False
ID597172333,https://www.otodom.pl/pl/oferta/listing-ID597172333,2350.0,34.0,2.0,miejskie,550.0,do zamieszkania,,,biuro nieruchomości,,True,blok,plastikowe,Żoliborz,Stary Żoliborz,ul. Kajetana Koźmiana,,17.0,,,,,,,,,,,,
ID844181819,https://www.otodom.pl/pl/oferta/listing-ID844181819,4500.0,62.0,2.0,brak informacji,,do zamieszkania,,,biuro nieruchomości,2021.0,False,blok,,Praga-Południe,Gocławek,ul. Jarocińska,2.0,3.0,False,True,True,True,True,False,False,False,True,False,False,True
ID283102933,https://www.otodom.pl/pl/oferta/listing-ID283102933,3800.0,46.0,2.0,miejskie,850.0,do zamieszkania,,,prywatny,2024.0,True,apartamentowiec,drewniane,Wilanów,Błonia Wilanowskie,ul. Adama Branickiego,4.0,4.0,True,True,True,True,True,False,False,False,False,True,False,False
ID387182740,https://www.otodom.pl/pl/oferta/listing-ID387182740,2500.0,25.0,1.0,miejskie,400.0,do zamieszkania,,,biuro nieruchomości,,False,blok,,Białołęka,Dąbrówka Szlachecka,ul. Józefa Mehoffera,1.0,2.0,True,False,False,True,True,False,False,True,False,True,False,False
ID623102922,https://www.otodom.pl/pl/oferta/listing-ID623102922,13900.0,140.0,3.0,brak informacji,0.0,do zamieszkania,,,biuro nieruchomości,2004.0,False,,,Mokotów,Stegny,,,12.0,,,,True,True,False,True,False,False,False,False,False
ID803181809,https://www.otodom.pl/pl/oferta/listing-ID803181809,3600.0,52.0,2.0,miejskie,950.0,do zamieszkania,,,biuro nieruchomości,1950.0,False,kamienica,plastikowe,Praga-Południe,Saska Kępa,ul. Londyńska,0.0,3.0,,,,,,,,,,,,
ID265092215,https://www.otodom.pl/pl/oferta/listing-ID265092215,2600.0,47.0,3.0,miejskie,750.0,do zamieszkania,,,prywatny,,True,blok,plastikowe,Targówek,Bródno-Podgrodzie,,5.0,10.0,,,,True,False,False,False,True,False,True,True,True
ID201092144,https://www.otodom.pl/pl/oferta/listing-ID201092144,3899.0,40.0,2.0,miejskie,651.0,do zamieszkania,,,prywatny,2020.0,True,apartamentowiec,plastikowe,Targówek,Targówek Mieszkaniowy,ul. Oszmiańska,1.0,4.0,True,True,True,True,True,False,False,False,False,True,True,False
